id,name,description,height,weight,category,overgrow,hp,attack,defense,specattack,specdefense,speed,type1,type2,weakness1,weakness2,weakness3,weakness4,weakness5,weakness6,weakness7
1,Bulbasaur,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","2' 04""",15.2,Seed,Overgrow,2,3,2,3,3,3,Grass, Poison,Fire, Flying, Ice, Psychic,,,
2,Ivysaur,"There is a bud on this Pokemon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","3' 03""",28.7,Seed,Overgrow,3,3,3,4,3,3,Grass, Poison,Fire, Flying, Ice, Psychic,,,
3,Venusaur,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,"6' 07""",220.5,Seed,Overgrow,3,4,4,5,4,4,Grass, Poison,Fire, Flying, Ice, Psychic,,,
4,Charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokemon becomes enraged, the flame burns fiercely.","2' 00""",18.7,Lizard,Blaze,2,3,2,3,2,4,Fire,,Ground, Rock, Water,,,,
5,Charmeleon,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","3' 07""",41.9,Flame,Blaze,3,3,3,4,3,4,Fire,,Ground, Rock, Water,,,,
6,Charizard,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","5' 07""",199.5,Flame,Blaze,3,4,3,5,4,5,Fire, Flying,Rock, Electric, Water,,,,
7,Squirtle,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokemon to swim at high speeds.","1' 08""",19.8,Tiny Turtle,Torrent,2,3,3,2,3,2,Water,,Electric, Grass,,,,,
8,Wartortle,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokemon's toughness as a battler.","3' 03""",49.6,Turtle,Torrent,3,3,4,3,3,3,Water,,Electric, Grass,,,,,
9,Blastoise,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"5' 03""",188.5,Shellfish,Torrent,3,4,4,4,4,4,Water,,Electric, Grass,,,,,
10,Caterpie,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokemon releases a terrifically strong odor.","1' 00""",6.4,Worm,Shield Dust,2,2,2,1,1,3,Bug,,Fire, Flying, Rock,,,,
11,Metapod,The shell covering this Pokemon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"2' 04""",21.8,Cocoon,Shed Skin,2,1,3,1,1,2,Bug,,Fire, Flying, Rock,,,,
12,Butterfree,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","3' 07""",70.5,Butterfly,Compound Eyes,3,2,2,4,3,4,Bug, Flying,Rock, Electric, Fire, Flying, Ice,,
13,Weedle,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"1' 00""",7.1,Hairy Bug,Shield Dust,2,2,2,1,1,3,Bug, Poison,Fire, Flying, Psychic, Rock,,,
14,Kakuna,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","2' 00""",22,Cocoon,Shed Skin,2,1,2,1,1,2,Bug, Poison,Fire, Flying, Psychic, Rock,,,
15,Beedrill,"Beedrill is extremely territorial. No one should ever approach its nest-this is for their own safety. If angered, they will attack in a furious swarm.","3' 03""",65,Poison Bee,Swarm,3,5,2,2,3,4,Bug, Poison,Fire, Flying, Psychic, Rock,,,
16,Pidgey,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","1' 00""",4,Tiny Bird,Keen Eye,2,2,2,2,2,3,Normal, Flying,Electric, Ice, Rock,,,,
17,Pidgeotto,"Pidgeotto claims a large area as its own territory. This Pokemon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","3' 07""",66.1,Bird,Keen Eye,3,3,3,2,2,4,Normal, Flying,Electric, Ice, Rock,,,,
18,Pidgeot,"This Pokemon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokemon.","4' 11""",87.1,Bird,Keen Eye,3,4,3,3,3,5,Normal, Flying,Electric, Ice, Rock,,,,
19,Rattata,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives-it will make its nest anywhere.","1' 00""",7.7,Mouse,Run Away,2,3,2,1,2,4,Normal,,Fighting,,,,,,
20,Raticate,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","2' 04""",40.8,Mouse,Run Away,2,4,3,2,3,5,Normal,,Fighting,,,,,,
21,Spearow,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","1' 00""",4.4,Tiny Bird,Keen Eye,2,3,2,2,1,4,Normal, Flying,Electric, Ice, Rock,,,,
22,Fearow,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"3' 11""",83.8,Beak,Keen Eye,3,5,3,3,3,5,Normal, Flying,Electric, Ice, Rock,,,,
23,Ekans,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"6' 07""",15.2,Snake,Shed Skin,2,3,2,2,2,3,Poison,,Ground, Psychic,,,,,
24,Arbok,"This Pokemon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","11' 06""",143.3,Cobra,Shed Skin,3,4,3,3,3,4,Poison,,Ground, Psychic,,,,,
25,Pikachu,This Pokemon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,"1' 04""",13.2,Mouse,Static,2,3,2,2,2,5,Electric,,Ground,,,,,,
26,Raichu,This Pokemon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,"2' 07""",66.1,Mouse,Static,3,5,3,4,3,6,Electric,,Ground,,,,,,
27,Sandshrew,"Sandshrew has a very dry hide that is extremely tough. The Pokemon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.","2' 00""",26.5,Mouse,Sand Veil,2,4,4,1,1,2,Ground,,Grass, Ice, Water,,,,
28,Sandslash,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokemon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.","3' 03""",65,Mouse,Sand Veil,3,5,5,2,2,4,Ground,,Grass, Ice, Water,,,,
29,Nidoran♀,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokemon. When enraged, it releases a horrible toxin from its horn.","1' 04""",15.4,Poison Pin,Poison Point,2,3,2,2,2,2,Poison,,Ground, Psychic,,,,,
30,Nidorina,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokemon appears to become nervous if separated from the others.","2' 07""",44.1,Poison Pin,Poison Point,3,3,3,3,2,3,Poison,,Ground, Psychic,,,,,
31,Nidoqueen,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokemon is at its strongest when it is defending its young.,"4' 03""",132.3,Drill,Poison Point,4,5,4,4,4,4,Poison, Ground,Ground, Ice, Psychic, Water,,,
32,Nidoran♂,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokemon's notice.","1' 08""",19.8,Poison Pin,Poison Point,2,3,2,2,2,3,Poison,,Ground, Psychic,,,,,
33,Nidorino,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","2' 11""",43,Poison Pin,Poison Point,3,4,3,3,2,4,Poison,,Ground, Psychic,,,,,
34,Nidoking,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokemon goes on a rampage, there is no stopping it.","4' 07""",136.7,Drill,Poison Point,3,5,3,4,3,5,Poison, Ground,Ground, Ice, Psychic, Water,,,
